DurationSeconds,DelayMilliseconds,TotalEventsAmount,ProcessorName,MaxQueue,FailureChance,MeadQueueLength,MeanLoadTime,SuccessEvents,FailedEvents
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.0,0.0,79,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.38461538461538464,45.91025641025641,79,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,7,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.0,0.0,73,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.2777777777777778,43.611111111111114,73,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,11,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,63,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,0.75,46.52,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,8,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.0,0.0,94,0
10,00:00:00.0010000,100,validation,2147483647,0.1,0.41935483870967744,43.086021505376344,94,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,4,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.0,0.0,91,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.5444444444444444,45.17777777777778,91,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,8,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.012048192771084338,0.0,84,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.3855421686746988,43.72289156626506,84,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,14,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,71,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,2.15,43.19,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,15,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.046511627906976744,0.0,87,0
10,00:00:00.0010000,100,validation,2147483647,0.1,1.186046511627907,45.94186046511628,87,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,10,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.06493506493506493,0.0,78,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.948051948051948,47.61038961038961,78,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,7,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.028169014084507043,0.0,72,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.6056338028169014,45.46478873239437,72,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,13,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.05084745762711865,0.0,60,0
10,00:00:00.0010000,1000,template-filling,2147483647,0.1,0.9285714285714286,44.27857142857143,143,0
10,00:00:00.0010000,1000,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,1000,template-filling_failed,2147483647,0.1,0.0,0.0,11,0
10,00:00:00.0010000,1000,template-filling_passed,2147483647,0.1,0.015384615384615385,0.0,131,0
10,00:00:00.0010000,1000,validation,2147483647,0.1,0.6434108527131783,42.84496124031008,131,0
10,00:00:00.0010000,1000,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,1000,validation_failed,2147483647,0.1,0.0,0.0,16,0
10,00:00:00.0010000,1000,validation_passed,2147483647,0.1,0.03508771929824561,0.0,115,0
